"","id","title","author_id","description","content","date"
"38","38","Public-data Assisted Private Stochastic Optimization: Power and Limitations","Enayat Ullah, Michael Menart, Raef Bassily, Cristóbal Guzmán, Raman Arora","Machine Learning (cs.LG)","We study the limits and capability of public-data assisted differentially private (PA-DP) algorithms. Specifically, we focus on the problem of stochastic convex optimization (SCO) with either labeled or unlabeled public data. For complete/labeled public data, we show that any $(epsilon,delta)$-PA-DP has excess risk $	ilde{Omega}ig(minig{frac{1}{sqrt{n_{	ext{pub}}}},frac{1}{sqrt{n}}+frac{sqrt{d}}{nepsilon} ig} ig)$, where $d$ is the dimension, ${n_{	ext{pub}}}$ is the number of public samples, ${n_{	ext{priv}}}$ is the number of private samples, and $n={n_{	ext{pub}}}+{n_{	ext{priv}}}$. These lower bounds are established via our new lower bounds for PA-DP mean estimation, which are of a similar form. Up to constant factors, these lower bounds show that the simple strategy of either treating all data as private or discarding the private data, is optimal. We also study PA-DP supervised learning with 	extit{unlabeled} public samples. In contrast to our previous result, we here show novel methods for leveraging public data in private supervised learning. For generalized linear models (GLM) with unlabeled public data, we show an efficient algorithm which, given $	ilde{O}({n_{	ext{priv}}}epsilon)$ unlabeled public samples, achieves the dimension independent rate $	ilde{O}ig(frac{1}{sqrt{n_{	ext{priv}}}} + frac{1}{sqrt{n_{	ext{priv}}epsilon}}ig)$. We develop new lower bounds for this setting which shows that this rate cannot be improved with more public samples, and any fewer public samples leads to a worse rate. Finally, we provide extensions of this result to general hypothesis classes with finite fat-shattering dimension with applications to neural networks and non-Euclidean geometries.","Wed, 6 Mar 2024 17:06:11 UTC (48 KB)"
"39","39","Accelerating Convergence of Score-Based Diffusion Models, Provably","Gen Li, Yu Huang, Timofey Efimov, Yuting Wei, Yuejie Chi, Yuxin Chen","Machine Learning (cs.LG)","Score-based diffusion models, while achieving remarkable empirical performance, often suffer from low sampling speed, due to extensive function evaluations needed during the sampling phase. Despite a flurry of recent activities towards speeding up diffusion generative modeling in practice, theoretical underpinnings for acceleration techniques remain severely limited. In this paper, we design novel training-free algorithms to accelerate popular deterministic (i.e., DDIM) and stochastic (i.e., DDPM) samplers. Our accelerated deterministic sampler converges at a rate $O(1/{T}^2)$ with $T$ the number of steps, improving upon the $O(1/T)$ rate for the DDIM sampler; and our accelerated stochastic sampler converges at a rate $O(1/T)$, outperforming the rate $O(1/sqrt{T})$ for the DDPM sampler. The design of our algorithms leverages insights from higher-order approximation, and shares similar intuitions as popular high-order ODE solvers like the DPM-Solver-2. Our theory accommodates $ell_2$-accurate score estimates, and does not require log-concavity or smoothness on the target distribution.","Wed, 6 Mar 2024 17:02:39 UTC (4,391 KB)"
"40","40","Linear and nonlinear system identification under $ell_1$- and group-Lasso regularization via L-BFGS-B","Alberto Bemporad","Systems and Control (eess.SY)","In this paper, we propose an approach for identifying linear and nonlinear discrete-time state-space models, possibly under $ell_1$- and group-Lasso regularization, based on the L-BFGS-B algorithm. For the identification of linear models, we show that, compared to classical linear subspace methods, the approach often provides better results, is much more general in terms of the loss and regularization terms used, and is also more stable from a numerical point of view. The proposed method not only enriches the existing set of linear system identification tools but can be also applied to identifying a very broad class of parametric nonlinear state-space models, including recurrent neural networks. We illustrate the approach on synthetic and experimental datasets and apply it to solve the challenging industrial robot benchmark for nonlinear multi-input/multi-output system identification proposed by Weigand et al. (2022). A Python implementation of the proposed identification method is available in the package 	exttt{jax-sysid}, available at url{this https URL}.","Wed, 6 Mar 2024 16:17:34 UTC (65 KB)"
"41","41","Realizability of Rectangular Euler Diagrams","Dominik Dürrschnabel, Uta Priss","Computational Geometry (cs.CG)","Euler diagrams are a tool for the graphical representation of set relations. Due to their simple way of visualizing elements in the sets by geometric containment, they are easily readable by an inexperienced reader. Euler diagrams where the sets are visualized as aligned rectangles are of special interest. In this work, we link the existence of such rectangular Euler diagrams to the order dimension of an associated order relation. For this, we consider Euler diagrams in one and two dimensions. In the one-dimensional case, this correspondence provides us with a polynomial-time algorithm to compute the Euler diagrams, while the two-dimensional case results in an exponential-time algorithm.","Wed, 6 Mar 2024 15:53:47 UTC (172 KB)"
"42","42","Largest common subgraph of two forests","Dieter Rautenbach, Florian Werner","Data Structures and Algorithms (cs.DS)","A common subgraph of two graphs $G_1$ and $G_2$ is a graph that is isomorphic to subgraphs of $G_1$ and $G_2$. In the largest common subgraph problem the task is to determine a common subgraph for two given graphs $G_1$ and $G_2$ that is of maximum possible size ${m lcs}(G_1,G_2)$. This natural problem generalizes the well-studied graph isomorphism problem, has many applications, and remains NP-hard even restricted to unions of paths. We present a simple $4$-approximation algorithm for forests, and, for every fixed $epsilonin (0,1)$, we show that, for two given forests $F_1$ and $F_2$ of order at most $n$, one can determine in polynomial time a common subgraph $F$ of $F_1$ and $F_2$ with at least ${m lcs}(F_1,F_2)-epsilon n$ edges. Restricted to instances with ${m lcs}(F_1,F_2)geq cn$ for some fixed positive $c$, this yields a polynomial time approximation scheme. Our approach relies on the approximation of the given forests by structurally simpler forests that are composed of copies of only $O(log (n))$ different starlike rooted trees and iterative quantizations of the options for the solutions.","Wed, 6 Mar 2024 13:25:41 UTC (18 KB)"
"43","43","Spectral Phase Transition and Optimal PCA in Block-Structured Spiked models","Pierre Mergny, Justin Ko, Florent Krzakala","Machine Learning (stat.ML)","We discuss the inhomogeneous spiked Wigner model, a theoretical framework recently introduced to study structured noise in various learning scenarios, through the prism of random matrix theory, with a specific focus on its spectral properties. Our primary objective is to find an optimal spectral method and to extend the celebrated cite{BBP} (BBP) phase transition criterion -- well-known in the homogeneous case -- to our inhomogeneous, block-structured, Wigner model. We provide a thorough rigorous analysis of a transformed matrix and show that the transition for the appearance of 1) an outlier outside the bulk of the limiting spectral distribution and 2) a positive overlap between the associated eigenvector and the signal, occurs precisely at the optimal threshold, making the proposed spectral method optimal within the class of iterative methods for the inhomogeneous Wigner problem.","Wed, 6 Mar 2024 13:23:55 UTC (74 KB)"
"44","44","On the Structure of Hamiltonian Graphs with Small Independence Number","Nikola Jedličková, Jan Kratochvíl","Combinatorics (math.CO)","A Hamiltonian path (cycle) in a graph is a path (cycle, respectively) which passes through all of its vertices. The problems of deciding the existence of a Hamiltonian cycle (path) in an input graph are well known to be NP-complete, and restricted classes of graphs which allow for their polynomial-time solutions are intensively investigated. Until very recently the complexity was open even for graphs of independence number at most 3. So far unpublished result of Jedličková and Kratochv'ıl [arXiv:2309.09228] shows that for every integer $k$, Hamiltonian path and cycle are polynomial-time solvable in graphs of independence number bounded by $k$. As a companion structural result, we determine explicit obstacles for the existence of a Hamiltonian path for small values of $k$, namely for graphs of independence number 2, 3, and 4. Identifying these obstacles in an input graph yields alternative polynomial-time algorithms for Hamiltonian path and cycle with no large hidden multiplicative constants.","Wed, 6 Mar 2024 12:39:44 UTC (629 KB)"
"45","45","Robust Safety-Critical Control for Systems with Sporadic Measurements and Dwell Time Constraints","Joseph Breeden, Luca Zaccarian, Dimitra Panagou","Systems and Control (eess.SY)","This paper presents extensions of control barrier function (CBF) theory to systems with disturbances wherein a controller only receives measurements infrequently and operates open-loop between measurements, while still satisfying state constraints. The paper considers both impulsive and continuous actuators, and models the actuators, measurements, disturbances, and timing constraints as a hybrid dynamical system. We then design an open-loop observer that bounds the worst-case uncertainty between measurements. We develop definitions of CBFs for both actuation cases, and corresponding conditions on the control input to guarantee satisfaction of the state constraints. We apply these conditions to simulations of a satellite rendezvous in an elliptical orbit and autonomous orbit stationkeeping.","Wed, 6 Mar 2024 12:33:15 UTC (390 KB)"
"46","46","Finite elements for Matérn-type random fields: Uncertainty in computational mechanics and design optimization","Tobias Duswald, Brendan Keith, Boyan Lazarov, Socratis Petrides, Barbara Wohlmuth","Computational Engineering, Finance, and Science (cs.CE)","This work highlights an approach for incorporating realistic uncertainties into scientific computing workflows based on finite elements, focusing on applications in computational mechanics and design optimization. We leverage Matérn-type Gaussian random fields (GRFs) generated using the SPDE method to model aleatoric uncertainties, including environmental influences, variating material properties, and geometric ambiguities. Our focus lies on delivering practical GRF realizations that accurately capture imperfections and variations and understanding how they impact the predictions of computational models and the topology of optimized designs. We describe a numerical algorithm based on solving a generalized SPDE to sample GRFs on arbitrary meshed domains. The algorithm leverages established techniques and integrates seamlessly with the open-source finite element library MFEM and associated scientific computing workflows, like those found in industrial and national laboratory settings. Our solver scales efficiently for large-scale problems and supports various domain types, including surfaces and embedded manifolds. We showcase its versatility through biomechanics and topology optimization applications. The flexibility and efficiency of SPDE-based GRF generation empower us to run large-scale optimization problems on 2D and 3D domains, including finding optimized designs on embedded surfaces, and to generate topologies beyond the reach of conventional techniques. Moreover, these capabilities allow us to model geometric uncertainties of reconstructed submanifolds, such as the surfaces of cerebral aneurysms. In addition to offering benefits in these specific domains, the proposed techniques transcend specific applications and generalize to arbitrary forward and backward problems in uncertainty quantification involving finite elements.","Wed, 6 Mar 2024 12:28:14 UTC (47,016 KB)"
"47","47","Exact objectives of random linear programs and mean widths of random polyhedrons","Mihailo Stojnic","Optimization and Control (math.OC)","We consider emph{random linear programs} (rlps) as a subclass of emph{random optimization problems} (rops) and study their typical behavior. Our particular focus is on appropriate linear objectives which connect the rlps to the mean widths of random polyhedrons/polytopes. Utilizing the powerful machinery of emph{random duality theory} (RDT) cite{StojnicRegRndDlt10}, we obtain, in a large dimensional context, the exact characterizations of the program's objectives. In particular, for any $alpha=lim_{nightarrowinfty}frac{m}{n}in(0,infty)$, any unit vector $mathbf{c}in{mathbb R}^n$, any fixed $mathbf{a}in{mathbb R}^n$, and $Ain {mathbb R}^{m	imes n}$ with iid standard normal entries, we have egin{eqnarray*} lim_{nightarrowinfty}{mathbb P}_{A} left ( (1-epsilon) xi_{opt}(alpha;mathbf{a}) leq min_{Amathbf{x}leq mathbf{a}}mathbf{c}^Tmathbf{x} leq (1+epsilon) xi_{opt}(alpha;mathbf{a}) ight ) longrightarrow 1, end{eqnarray*} where egin{equation*} xi_{opt}(alpha;mathbf{a}) 	riangleq min_{x>0} sqrt{x^2- x^2 lim_{nightarrowinfty} frac{sum_{i=1}^{m} left ( frac{1}{2} left (left ( frac{mathbf{a}_i}{x}ight )^2 + 1ight ) mbox{erfc}left( frac{mathbf{a}_i}{xsqrt{2}}ight ) - frac{mathbf{a}_i}{x} frac{e^{-frac{mathbf{a}_i^2}{2x^2}}}{sqrt{2pi}} ight ) }{n} }. end{equation*} For example, for $mathbf{a}=mathbf{1}$, one uncovers egin{equation*} xi_{opt}(alpha) = min_{x>0} sqrt{x^2- x^2 alpha left ( frac{1}{2} left ( frac{1}{x^2} + 1ight ) mbox{erfc} left ( frac{1}{xsqrt{2}}ight ) - frac{1}{x} frac{e^{-frac{1}{2x^2}}}{sqrt{2pi}} ight ) }. end{equation*} Moreover, $2 xi_{opt}(alpha)$ is precisely the concentrating point of the mean width of the polyhedron ${mathbf{x}|Amathbf{x} leq mathbf{1}}$.","Wed, 6 Mar 2024 11:51:52 UTC (152 KB)"
"48","48","A hybrid dynamical system approach to the impulsive control of spacecraft rendezvous (extended version)","Alexandre Seuret, Rafael Vazquez, Luca Zaccarian","Systems and Control (eess.SY)","This paper introduces a hybrid dynamical system methodology for managing impulsive control in spacecraft rendezvous and proximity operations under the Hill-Clohessy-Wiltshire model. We address the control design problem by isolating the out-of-plane from the in-plane dynamics and present a feedback control law for each of them. This law is based on a Lyapunov function tailored to each of the dynamics, capable of addressing thruster saturation and also a minimum impulse bit. These Lyapunov functions were found by reformulating the system's dynamics into coordinates that more intuitively represent their physical behavior. The effectiveness of our control laws is then shown through numerical simulation. This is an extended version of an ECC24 article of the same name, which includes the proofs omitted for lack of space.","Wed, 6 Mar 2024 11:42:35 UTC (1,160 KB)"
"49","49","Data-Driven Superstabilizing Control under Quadratically-Bounded Errors-in-Variables Noise","Jared Miller, Tianyu Dai, Mario Sznaier","Optimization and Control (math.OC)","The Error-in-Variables model of system identification/control involves nontrivial input and measurement corruption of observed data, resulting in generically nonconvex optimization problems. This paper performs full-state-feedback stabilizing control of all discrete-time linear systems that are consistent with observed data for which the input and measurement noise obey quadratic bounds. Instances of such quadratic bounds include elementwise norm bounds (at each time sample), energy bounds (across the entire signal), and chance constraints arising from (sub)gaussian noise. Superstabilizing controllers are generated through the solution of a sum-of-squares hierarchy of semidefinite programs. A theorem of alternatives is employed to eliminate the input and measurement noise process, thus improving tractability. Effectiveness of the scheme is generated on an example system in the chance-constrained set-membership setting where the input and state-measurement noise are i.i.d. normally distributed.","Wed, 6 Mar 2024 11:31:08 UTC (81 KB)"
"50","50","Medial Parametrization of Arbitrary Planar Compact Domains with Dipoles","Vinayak Krishnamurthy, Ergun Akleman","Graphics (cs.GR)","We present medial parametrization, a new approach to parameterizing any compact planar domain bounded by simple closed curves. The basic premise behind our proposed approach is to use two close Voronoi sites, which we call dipoles, to construct and reconstruct an approximate piecewise-linear version of the original boundary and medial axis through Voronoi tessellation. The boundaries and medial axes of such planar compact domains offer a natural way to describe the domain's interior. Any compact planar domain is homeomorphic to a compact unit circular disk admits a natural parameterization isomorphic to the polar parametrization of the disk. Specifically, the medial axis and the boundary generalize the radial and angular parameters, respectively. In this paper, we present a simple algorithm that puts these principles into practice. The algorithm is based on the simultaneous re-creation of the boundaries of the domain and its medial axis using Voronoi tessellation. This simultaneous re-creation provides partitions of the domain into a set of ""skinny"" convex polygons wherein each polygon is essentially a subset of the medial edges (which we call the spine) connected to the boundary through exactly two straight edges (which we call limbs). This unique structure enables us to convert the original Voronoi tessellation into quadrilaterals and triangles (at the poles of the medial axis) neatly ordered along the domain boundary, thereby allowing proper parametrization of the domain. Our approach is agnostic to the number of holes and disconnected components bounding the domain. We investigate the efficacy of our concept and algorithm through several examples.","Wed, 6 Mar 2024 11:28:47 UTC (7,980 KB)[v2] Thu, 7 Mar 2024 11:00:04 UTC (7,970 KB)"
"51","51","RouteExplainer: An Explanation Framework for Vehicle Routing Problem","Daisuke Kikuta, Hiroki Ikeuchi, Kengo Tajiri, Yuusuke Nakano","Machine Learning (cs.LG)","The Vehicle Routing Problem (VRP) is a widely studied combinatorial optimization problem and has been applied to various practical problems. While the explainability for VRP is significant for improving the reliability and interactivity in practical VRP applications, it remains unexplored. In this paper, we propose RouteExplainer, a post-hoc explanation framework that explains the influence of each edge in a generated route. Our framework realizes this by rethinking a route as the sequence of actions and extending counterfactual explanations based on the action influence model to VRP. To enhance the explanation, we additionally propose an edge classifier that infers the intentions of each edge, a loss function to train the edge classifier, and explanation-text generation by Large Language Models (LLMs). We quantitatively evaluate our edge classifier on four different VRPs. The results demonstrate its rapid computation while maintaining reasonable accuracy, thereby highlighting its potential for deployment in practical applications. Moreover, on the subject of a tourist route, we qualitatively evaluate explanations generated by our framework. This evaluation not only validates our framework but also shows the synergy between explanation frameworks and LLMs. See this https URL for our code, datasets, models, and demo.","Wed, 6 Mar 2024 10:01:35 UTC (9,937 KB)"
"52","52","Anisotropic power diagrams for polycrystal modelling: efficient generation of curved grains via optimal transport","Maciej Buze, Jean Feydy, Steven M. Roper, Karo Sedighiani, David P. Bourne","Materials Science (cond-mat.mtrl-sci)","The microstructure of metals and foams can be effectively modelled with anisotropic power diagrams (APDs), which provide control over the shape of individual grains. One major obstacle to the wider adoption of APDs is the computational cost that is associated with their generation. We propose a novel approach to generate APDs with prescribed statistical properties, including fine control over the size of individual grains. To this end, we rely on fast optimal transport algorithms that stream well on Graphics Processing Units (GPU) and handle non-uniform, anisotropic distance functions. This allows us to find APDs that best fit experimental data in (tens of) seconds, which unlocks their use for computational homogenisation. This is especially relevant to machine learning methods that require the generation of large collections of representative microstructures as training data. The paper is accompanied by a Python library, PyAPD, which is freely available at: this http URL.","Wed, 6 Mar 2024 09:30:31 UTC (10,184 KB)"
"53","53","Sparse convex relaxations in polynomial optimization","Gennadiy Averkov, Benjamin Peters, Sebastian Sager","Optimization and Control (math.OC)","We present a novel, general, and unifying point of view on sparse approaches to polynomial optimization. Solving polynomial optimization problems to global optimality is a ubiquitous challenge in many areas of science and engineering. Historically, different approaches on how to solve nonconvex polynomial optimization problems based on convex relaxations have been developed in different scientific communities. Here, we introduce the concept of monomial patterns. A pattern determines what monomials are to be linked by convex constraints in a convex relaxation of a polynomial optimization problem. This concept helps to understand existing approaches from different schools of thought, to develop novel relaxation schemes, and to derive a flexible duality theory, which can be specialized to many concrete situations that have been considered in the literature. We unify different approaches to polynomial optimization including polyhedral approximations, dense semidefinite relaxations, SONC, SAGE, and TSSOS in a self-contained exposition. We also carry out computational experiments to demonstrate the practical advantages of a flexible usage of pattern-based sparse relaxations of polynomial optimization problems.","Wed, 6 Mar 2024 09:09:40 UTC (1,540 KB)"
"54","54","DPOT: Auto-Regressive Denoising Operator Transformer for Large-Scale PDE Pre-Training","Zhongkai Hao, Chang Su, Songming Liu, Julius Berner, Chengyang Ying, Hang Su, Anima Anandkumar, Jian Song, Jun Zhu","Machine Learning (cs.LG)","Pre-training has been investigated to improve the efficiency and performance of training neural operators in data-scarce settings. However, it is largely in its infancy due to the inherent complexity and diversity, such as long trajectories, multiple scales and varying dimensions of partial differential equations (PDEs) data. In this paper, we present a new auto-regressive denoising pre-training strategy, which allows for more stable and efficient pre-training on PDE data and generalizes to various downstream tasks. Moreover, by designing a flexible and scalable model architecture based on Fourier attention, we can easily scale up the model for large-scale pre-training. We train our PDE foundation model with up to 0.5B parameters on 10+ PDE datasets with more than 100k trajectories. Extensive experiments show that we achieve SOTA on these benchmarks and validate the strong generalizability of our model to significantly enhance performance on diverse downstream PDE tasks like 3D data. Code is available at url{this https URL}.","Wed, 6 Mar 2024 08:38:34 UTC (889 KB)[v2] Thu, 7 Mar 2024 04:53:51 UTC (884 KB)"
"55","55","TGPT-PINN: Nonlinear model reduction with transformed GPT-PINNs","Yanlai Chen, Yajie Ji, Akil Narayan, Zhenli Xu","Numerical Analysis (math.NA)","We introduce the Transformed Generative Pre-Trained Physics-Informed Neural Networks (TGPT-PINN) for accomplishing nonlinear model order reduction (MOR) of transport-dominated partial differential equations in an MOR-integrating PINNs framework. Building on the recent development of the GPT-PINN that is a network-of-networks design achieving snapshot-based model reduction, we design and test a novel paradigm for nonlinear model reduction that can effectively tackle problems with parameter-dependent discontinuities. Through incorporation of a shock-capturing loss function component as well as a parameter-dependent transform layer, the TGPT-PINN overcomes the limitations of linear model reduction in the transport-dominated regime. We demonstrate this new capability for nonlinear model reduction in the PINNs framework by several nontrivial parametric partial differential equations.","Wed, 6 Mar 2024 04:49:18 UTC (12,970 KB)"
"56","56","Robust Control Lyapunov-Value Functions for Nonlinear Disturbed Systems","Zheng Gong, Sylvia Herbert","Optimization and Control (math.OC)","Control Lyapunov Functions (CLFs) have been extensively used in the control community. A well-known drawback is the absence of a systematic way to construct CLFs for general nonlinear systems, and the problem can become more complex with input or state constraints. Our preliminary work on constructing Control Lyapunov Value Functions (CLVFs) using Hamilton-Jacobi (HJ) reachability analysis provides a method for finding a non-smooth CLF. In this paper, we extend our work on CLVFs to systems with bounded disturbance and define the Robust CLVF (R-CLVF). The R-CLVF naturally inherits all properties of the CLVF; i.e., it first identifies the ""smallest robust control invariant set (SRCIS)"" and stabilizes the system to it with a user-specified exponential rate. The region from which the exponential rate can be met is called the ""region of exponential stabilizability (ROES)."" We provide clearer definitions of the SRCIS and more rigorous proofs of several important theorems. Since the computation of the R-CLVF suffers from the ""curse of dimensionality,"" we also provide two techniques (warmstart and system decomposition) that solve it, along with necessary proofs. Three numerical examples are provided, validating our definition of SRCIS, illustrating the trade-off between a faster decay rate and a smaller ROES, and demonstrating the efficiency of computation using warmstart and decomposition.","Wed, 6 Mar 2024 04:45:06 UTC (515 KB)"
"57","57","Learning Constrained Optimization with Deep Augmented Lagrangian Methods","James Kotary, Ferdinando Fioretto","Machine Learning (cs.LG)","Learning to Optimize (LtO) is a problem setting in which a machine learning (ML) model is trained to emulate a constrained optimization solver. Learning to produce optimal and feasible solutions subject to complex constraints is a difficult task, but is often made possible by restricting the input space to a limited distribution of related problems. Most LtO methods focus on directly learning solutions to the primal problem, and applying correction schemes or loss function penalties to encourage feasibility. This paper proposes an alternative approach, in which the ML model is trained instead to predict dual solution estimates directly, from which primal estimates are constructed to form dual-feasible solution pairs. This enables an end-to-end training scheme is which the dual objective is maximized as a loss function, and solution estimates iterate toward primal feasibility, emulating a Dual Ascent method. First it is shown that the poor convergence properties of classical Dual Ascent are reflected in poor convergence of the proposed training scheme. Then, by incorporating techniques from practical Augmented Lagrangian methods, we show how the training scheme can be improved to learn highly accurate constrained optimization solvers, for both convex and nonconvex problems.","Wed, 6 Mar 2024 04:43:22 UTC (679 KB)"
"58","58","Uncertainty quantification for deeponets with ensemble kalman inversion","Andrew Pensoneault, Xueyu Zhu","Machine Learning (cs.LG)","In recent years, operator learning, particularly the DeepONet, has received much attention for efficiently learning complex mappings between input and output functions across diverse fields. However, in practical scenarios with limited and noisy data, accessing the uncertainty in DeepONet predictions becomes essential, especially in mission-critical or safety-critical applications. Existing methods, either computationally intensive or yielding unsatisfactory uncertainty quantification, leave room for developing efficient and informative uncertainty quantification (UQ) techniques tailored for DeepONets. In this work, we proposed a novel inference approach for efficient UQ for operator learning by harnessing the power of the Ensemble Kalman Inversion (EKI) approach. EKI, known for its derivative-free, noise-robust, and highly parallelizable feature, has demonstrated its advantages for UQ for physics-informed neural networks [28]. Our innovative application of EKI enables us to efficiently train ensembles of DeepONets while obtaining informative uncertainty estimates for the output of interest. We deploy a mini-batch variant of EKI to accommodate larger datasets, mitigating the computational demand due to large datasets during the training stage. Furthermore, we introduce a heuristic method to estimate the artificial dynamics covariance, thereby improving our uncertainty estimates. Finally, we demonstrate the effectiveness and versatility of our proposed methodology across various benchmark problems, showcasing its potential to address the pressing challenges of uncertainty quantification in DeepONets, especially for practical applications with limited and noisy data.","Wed, 6 Mar 2024 04:02:30 UTC (38,527 KB)"
"59","59","Secure Total Domination Number in Maximal Outerplanar Graphs","Yasufumi Aita, Toru Araki","Combinatorics (math.CO)","A subset $S$ of vertices in a graph $G$ is a secure total dominating set of $G$ if $S$ is a total dominating set of $G$ and, for each vertex $u 
otin S$, there is a vertex $v in S$ such that $uv$ is an edge and $(S setminus {v}) cup {u}$ is also a total dominating set of $G$. We show that if $G$ is a maximal outerplanar graph of order $n$, then $G$ has a total secure dominating set of size at most $lfloor 2n/3 floor$. Moreover, if an outerplanar graph $G$ of order $n$, then each secure total dominating set has at least $lceil (n+2)/3 ceil$ vertices. We show that these bounds are best possible.","Wed, 6 Mar 2024 02:00:22 UTC (71 KB)"
"60","60","am-AMM: An Auction-Managed Automated Market Maker","Austin Adams, Ciamac Moallemi, Sara Reynolds, Dan Robinson","Trading and Market Microstructure (q-fin.TR)","Automated market makers (AMMs) have emerged as the dominant market mechanism for trading on decentralized exchanges implemented on blockchains. This paper presents a single mechanism that targets two important unsolved problems for AMMs: reducing losses to informed orderflow, and maximizing revenue from uninformed orderflow. The ""auction-managed AMM"" works by running a censorship-resistant onchain auction for the right to temporarily act as ""pool manager"" for a constant-product AMM. The pool manager sets the swap fee rate on the pool, and also receives the accrued fees from swaps. The pool manager can exclusively capture some arbitrage by trading against the pool in response to small price movements, and also can set swap fees incorporating price sensitivity of retail orderflow and adapting to changing market conditions, with the benefits from both ultimately accruing to liquidity providers. Liquidity providers can enter and exit the pool freely in response to changing rent, though they must pay a small fee on withdrawal. We prove that under certain assumptions, this AMM should have higher liquidity in equilibrium than any standard, fixed-fee AMM.","Tue, 5 Mar 2024 23:28:50 UTC (27 KB)"
"61","61","Level Set Teleportation: An Optimization Perspective","Aaron Mishkin, Alberto Bietti, Robert M. Gower","Machine Learning (cs.LG)","We study level set teleportation, an optimization sub-routine which seeks to accelerate gradient methods by maximizing the gradient norm on a level-set of the objective function. Since the descent lemma implies that gradient descent (GD) decreases the objective proportional to the squared norm of the gradient, level-set teleportation maximizes this one-step progress guarantee. For convex functions satisfying Hessian stability, we prove that GD with level-set teleportation obtains a combined sub-linear/linear convergence rate which is strictly faster than standard GD when the optimality gap is small. This is in sharp contrast to the standard (strongly) convex setting, where we show level-set teleportation neither improves nor worsens convergence rates. To evaluate teleportation in practice, we develop a projected-gradient-type method requiring only Hessian-vector products. We use this method to show that gradient methods with access to a teleportation oracle uniformly out-perform their standard versions on a variety of learning problems.","Tue, 5 Mar 2024 23:16:13 UTC (3,599 KB)"
"62","62","The vehicle routing problem with synchronization constraints and support vehicle-dependent service times","David Wittwer, Felix Tamke","Optimization and Control (math.OC)","Many production processes require the cooperation of various resources. Especially when using expensive machines, their utilization plays a decisive role in efficient production. In agricultural production or civil construction processes, e.g., harvesting or road building, the machines are typically mobile, and synchronization of different machine types is required to perform operations. In addition, the productivity of one type often depends on the availability of another type. In this paper, we consider two types of vehicles, called primary and support vehicles. Primary vehicles perform operations and are assisted by at least one support vehicle, with more support vehicles resulting in faster service times for primary vehicles. We call this practical problem the vehicle routing and scheduling problem with support vehicle-dependent service times and introduce two mixed-integer linear programming models. The first represents each support vehicle individually with binary decision variables, while the second considers the cumulative flow of support vehicles with integer decision variables. Furthermore, the models are defined on a graph that allows easy transformation into multiple variants. These variants are based on allowing or prohibiting switching support vehicles between primary vehicles and splitting services among primary vehicles. We show in our extensive computational experiments that: i) the integer representation of support vehicles is superior to the binary representation, ii) the benefit of additional vehicles is subject to saturation effects and depends on the ratio of support and primary vehicles, and iii) switching and splitting lead to problems that are more difficult to solve, but also result in better solutions with higher primary vehicle utilization.","Tue, 5 Mar 2024 22:46:35 UTC (767 KB)"
"63","63","Hypothesis Spaces for Deep Learning","Rui Wang, Yuesheng Xu, Mingsong Yan","Machine Learning (stat.ML)","This paper introduces a hypothesis space for deep learning that employs deep neural networks (DNNs). By treating a DNN as a function of two variables, the physical variable and parameter variable, we consider the primitive set of the DNNs for the parameter variable located in a set of the weight matrices and biases determined by a prescribed depth and widths of the DNNs. We then complete the linear span of the primitive DNN set in a weak* topology to construct a Banach space of functions of the physical variable. We prove that the Banach space so constructed is a reproducing kernel Banach space (RKBS) and construct its reproducing kernel. We investigate two learning models, regularized learning and minimum interpolation problem in the resulting RKBS, by establishing representer theorems for solutions of the learning models. The representer theorems unfold that solutions of these learning models can be expressed as linear combination of a finite number of kernel sessions determined by given data and the reproducing kernel.","Tue, 5 Mar 2024 22:42:29 UTC (27 KB)"
"64","64","Assortment Optimization For Conference Goodies With Indifferent Attendees","Fernanda Gutiérrez, Bernardo Subercaseaux","Optimization and Control (math.OC)","Conferences such as FUN with Algorithms routinely buy goodies (e.g., t-shirts, coffee mugs, etc) for their attendees. Often, said goodies come in different types, varying by color or design, and organizers need to decide how many goodies of each type to buy. We study the problem of buying optimal amounts of each type under a simple model of preferences by the attendees: they are indifferent to the types but want to be able to choose between more than one type of goodies at the time of their arrival. The indifference of attendees suggests that the optimal policy is to buy roughly equal amounts for every goodie type. Despite how intuitive this conjecture sounds, we show that this simple model of assortment optimization is quite rich, and even though we make progress towards proving the conjecture (e.g., we succeed when the number of goodie types is 2 or 3), the general case with K types remains open. We also present asymptotic results and computer simulations, and finally, to motivate further progress, we offer a reward of $100usd for a full proof.","Tue, 5 Mar 2024 21:22:39 UTC (691 KB)"
